index,chinese_name,latin_name,difficulty
1,仙女座,And,0.3
2,唧筒座,Ant,0.4
3,天燕座,Aps,0.4
4,宝瓶座,Aqr,0.3
5,天鹰座,Aql,0.1
6,天坛座,Ara,0.4
7,白羊座,Ari,0.2
8,御夫座,Aur,0.3
9,牧夫座,Boo,0.2
10,雕具座,Cae,0.4
11,鹿豹座,Cam,0.4
12,巨蟹座,Cnc,0.3
13,猎犬座,CVn,0.4
14,大犬座,CMa,0.3
15,小犬座,CMi,0.4
16,摩羯座,Cap,0.3
17,船底座,Car,0.4
18,仙后座,Cas,0.2
19,半人马座,Cen,0.3
20,仙王座,Cep,0.2
21,鲸鱼座,Cet,0.3
22,蝘蜓座,Cha,0.4
23,圆规座,Cir,0.4
24,天鸽座,Col,0.4
25,后发座,Com,0.4
26,南冕座,CrA,0.4
27,北冕座,CrB,0.2
28,乌鸦座,Crv,0.4
29,巨爵座,Crt,0.4
30,南十字座,Cru,0.2
31,天鹅座,Cyg,0.1
32,海豚座,Del,0.4
33,剑鱼座,Dor,0.4
34,天龙座,Dra,0.3
35,小马座,Equ,0.4
36,波江座,Eri,0.4
37,天炉座,For,0.4
38,双子座,Gem,0.1
39,天鹤座,Gru,0.4
40,武仙座,Her,0.3
41,时钟座,Hor,0.4
42,长蛇座,Hya,0.3
43,水蛇座,Hyi,0.4
44,印第安座,Ind,0.4
45,蝎虎座,Lac,0.4
46,狮子座,Leo,0.2
47,小狮座,LMi,0.4
48,天兔座,Lep,0.4
49,天秤座,Lib,0.2
50,豺狼座,Lup,0.4
51,天猫座,Lyn,0.4
52,天琴座,Lyr,0.1
53,山案座,Men,0.4
54,显微镜座,Mic,0.4
55,麒麟座,Mon,0.4
56,苍蝇座,Mus,0.4
57,矩尺座,Nor,0.4
58,南极座,Oct,0.4
59,蛇夫座,Oph,0.3
60,猎户座,Ori,0.1
61,孔雀座,Pav,0.4
62,飞马座,Peg,0.1
63,英仙座,Per,0.3
64,凤凰座,Phe,0.4
65,绘架座,Pic,0.4
66,双鱼座,Psc,0.3
67,南鱼座,PsA,0.4
68,船尾座,Pup,0.4
69,罗盘座,Pyx,0.4
70,网罟座,Ret,0.4
71,天箭座,Sge,0.3
72,人马座,Sgr,0.2
73,天蝎座,Sco,0.1
74,玉夫座,Scl,0.4
75,盾牌座,Sct,0.4
76,巨蛇座,Ser,0.4
77,六分仪座,Sex,0.4
78,金牛座,Tau,0.2
79,望远镜座,Tel,0.4
80,三角座,Tri,0.3
81,南三角座,Tra,0.4
82,杜鹃座,Tuc,0.4
83,大熊座,UMa,0.1
84,小熊座,UMi,0.3
85,船帆座,Vel,0.4
86,室女座,Vir,0.2
87,飞鱼座,Vol,0.4
88,狐狸座,Vul,0.4
